MONTH,DAY,DAY_OF_WEEK,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
4,4,6,OMA,MDW,-4.0,10.0,423,0,2015
4,1,3,PDX,LAS,-10.0,24.0,763,0,2015
4,24,5,DEN,BWI,26.0,16.0,1491,1,2015
4,8,3,IAD,ATL,-6.0,10.0,534,0,2015
4,4,6,TPA,PHL,33.0,11.0,920,1,2015
4,6,1,DFW,JAX,11.0,27.0,918,0,2015
4,16,4,RDU,CLT,-3.0,20.0,130,0,2015
4,2,4,DFW,SMF,-1.0,17.0,1431,1,2015
4,22,3,ATL,VLD,-3.0,14.0,208,0,2015
4,19,7,EWR,ORD,2.0,20.0,719,0,2015
4,28,2,EWR,BOS,-9.0,10.0,200,0,2015
4,23,4,PDX,LAS,-2.0,21.0,763,0,2015
4,3,5,DCA,DAL,-4.0,27.0,1184,0,2015
4,25,6,DEN,ORD,-7.0,12.0,888,0,2015
4,21,2,DEN,SEA,-2.0,11.0,1024,0,2015
4,11,6,OAK,SAN,22.0,7.0,446,1,2015
4,14,2,MSP,GRB,-5.0,24.0,252,0,2015
4,13,1,ORD,BOS,-8.0,9.0,867,0,2015
4,23,4,LAS,BWI,-2.0,12.0,2106,0,2015
4,26,7,DEN,MSP,0.0,11.0,680,0,2015
4,25,6,LGA,ATL,86.0,19.0,762,1,2015
4,6,1,LAS,GEG,16.0,13.0,806,0,2015
4,7,2,MSP,OMA,33.0,12.0,282,1,2015
4,4,6,CRW,ATL,-4.0,11.0,363,0,2015
4,9,4,LAX,HNL,-6.0,15.0,2556,0,2015
4,1,3,ATL,LGA,-1.0,20.0,762,0,2015
4,3,5,SAN,ORD,-7.0,23.0,1723,0,2015
4,27,1,SAN,ATL,-3.0,13.0,1892,0,2015
4,6,1,DEN,DFW,7.0,14.0,641,0,2015
4,30,4,MSP,MDW,-4.0,9.0,349,0,2015
4,13,1,AMA,DEN,-16.0,15.0,359,0,2015
4,7,2,MDW,LGA,34.0,12.0,725,1,2015
4,19,7,CLT,DFW,2.0,20.0,936,0,2015
4,27,1,DEN,TUS,-4.0,16.0,639,0,2015
4,22,3,JFK,MSP,9.0,57.0,1029,0,2015
4,19,7,JFK,MCO,1.0,22.0,944,0,2015
4,10,5,BOS,BWI,69.0,22.0,369,1,2015
4,17,5,LAX,TUS,14.0,5.0,451,0,2015
4,9,4,ATL,BWI,-1.0,17.0,577,0,2015
4,15,3,EWR,HOU,-5.0,14.0,1411,0,2015
4,9,4,SFO,ACV,-6.0,48.0,250,1,2015
4,11,6,DFW,BOS,-7.0,16.0,1562,0,2015
4,16,4,LAS,LAX,-3.0,15.0,236,0,2015
4,13,1,ATL,RSW,5.0,12.0,515,0,2015
4,12,7,RSW,HPN,-10.0,9.0,1102,0,2015
4,29,3,LAX,SJC,-3.0,12.0,308,0,2015
4,17,5,JFK,PHX,-6.0,21.0,2153,0,2015
4,14,2,PHX,BFL,-3.0,15.0,425,0,2015
4,27,1,LGA,SAV,-8.0,30.0,722,0,2015
4,4,6,BOS,EWR,-8.0,17.0,200,0,2015
4,10,5,LAX,RDM,-10.0,9.0,726,0,2015
4,14,2,IND,DTW,-5.0,11.0,231,0,2015
4,29,3,ATL,DTW,-3.0,13.0,594,0,2015
4,23,4,COS,ORD,-1.0,17.0,911,0,2015
4,22,3,LAS,DEN,39.0,17.0,628,1,2015
4,11,6,ORD,SAN,2.0,13.0,1723,0,2015
4,16,4,ELP,AUS,-4.0,16.0,528,0,2015
4,29,3,LAS,JFK,5.0,13.0,2248,0,2015
4,18,6,PHX,PDX,27.0,12.0,1009,1,2015
4,23,4,DTW,DAY,-5.0,17.0,166,0,2015
4,13,1,PHX,SEA,0.0,24.0,1107,0,2015
4,27,1,MIA,ATL,217.0,13.0,594,1,2015
4,29,3,CLT,ORD,-6.0,31.0,599,0,2015
4,7,2,DFW,SLC,-4.0,17.0,989,0,2015
4,17,5,IAH,PHX,162.0,13.0,1009,1,2015
4,22,3,PHL,MCO,-5.0,10.0,861,0,2015
4,5,7,OAK,BUR,10.0,5.0,325,1,2015
4,13,1,ATL,SAT,-3.0,12.0,874,0,2015
4,13,1,PHX,STL,16.0,12.0,1262,1,2015
4,3,5,SLC,OMA,118.0,16.0,840,1,2015
4,13,1,PDX,SFO,-12.0,12.0,550,0,2015
4,21,2,IAD,TPA,-2.0,24.0,811,1,2015
4,24,5,ORD,BOS,-4.0,13.0,867,0,2015
4,24,5,BWI,MHT,8.0,9.0,377,0,2015
4,5,7,BOS,MSP,-5.0,18.0,1124,0,2015
4,19,7,LAN,DTW,-8.0,11.0,74,0,2015
4,16,4,SAN,LAX,57.0,12.0,109,1,2015
4,29,3,BUF,JFK,-16.0,7.0,301,0,2015
4,12,7,BUR,OAK,-2.0,7.0,325,0,2015
4,26,7,TPA,ALB,9.0,20.0,1130,0,2015
4,13,1,DFW,BTR,79.0,30.0,383,1,2015
4,9,4,DFW,STL,-3.0,15.0,550,0,2015
4,10,5,ATW,ORD,-2.0,7.0,160,0,2015
4,27,1,MCO,BWI,-5.0,11.0,787,0,2015
4,12,7,LAX,ABQ,-8.0,21.0,677,0,2015
4,20,1,LAX,PHX,29.0,18.0,370,1,2015
4,14,2,ATL,BWI,-2.0,11.0,577,0,2015
4,23,4,LEX,ORD,-9.0,28.0,323,0,2015
4,27,1,ATL,ABE,-7.0,12.0,692,0,2015
4,28,2,LAX,KOA,-4.0,20.0,2504,0,2015
