FLIGHT_ID,MONTH,DAY,DAY_OF_WEEK,DEPARTURE_DELAY,TAXI_OUT,DISTANCE,DELAYED,YEAR
3460,1,3,6,163.0,41.0,844,1,2015
3461,1,25,7,-4.0,12.0,102,0,2015
3462,1,9,5,42.0,16.0,343,1,2015
3463,1,10,6,-6.0,9.0,861,0,2015
3464,1,21,3,5.0,38.0,373,1,2015
3465,1,6,2,-2.0,15.0,889,0,2015
3466,1,12,1,3.0,30.0,594,0,2015
3467,1,9,5,-3.0,13.0,667,0,2015
3468,1,10,6,19.0,6.0,853,0,2015
3469,1,23,5,16.0,7.0,1592,0,2015
3470,1,30,5,-7.0,11.0,834,0,2015
3471,1,19,1,-7.0,11.0,1931,0,2015
3472,1,9,5,-7.0,30.0,184,0,2015
3473,1,4,7,50.0,15.0,1389,1,2015
3474,1,25,7,1.0,26.0,1035,0,2015
3475,1,7,3,64.0,12.0,73,1,2015
3476,1,1,4,-3.0,9.0,1158,0,2015
3477,1,13,2,-3.0,12.0,571,0,2015
3478,1,23,5,-3.0,33.0,541,0,2015
3479,1,1,4,-7.0,13.0,328,0,2015
3480,1,20,2,-5.0,11.0,239,0,2015
3481,1,22,4,-9.0,15.0,936,0,2015
3482,1,29,4,-2.0,7.0,671,0,2015
3483,1,18,7,-1.0,11.0,143,0,2015
3484,1,25,7,-9.0,10.0,493,0,2015
3485,1,2,5,-4.0,18.0,551,0,2015
3486,1,9,5,-6.0,6.0,373,0,2015
3487,1,1,4,15.0,20.0,602,1,2015
3488,1,27,2,0.0,21.0,191,0,2015
3489,1,28,3,-7.0,23.0,588,0,2015
3490,1,19,1,84.0,11.0,228,1,2015
3491,1,19,1,-5.0,12.0,453,0,2015
3492,1,3,6,64.0,9.0,349,1,2015
3493,1,13,2,-4.0,21.0,1107,0,2015
3494,1,16,5,7.0,20.0,230,0,2015
3495,1,18,7,0.0,7.0,456,0,2015
3496,1,3,6,72.0,19.0,204,1,2015
3497,1,1,4,1.0,25.0,2153,1,2015
3498,1,2,5,76.0,15.0,812,1,2015
3499,1,22,4,-3.0,9.0,302,0,2015
3500,1,8,4,14.0,41.0,762,0,2015
3501,1,4,7,-5.0,14.0,224,0,2015
3502,1,2,5,-1.0,14.0,2402,0,2015
3503,1,14,3,-6.0,16.0,495,0,2015
3504,1,31,6,8.0,19.0,212,0,2015
3505,1,6,2,84.0,20.0,212,1,2015
3506,1,31,6,-1.0,15.0,581,0,2015
3507,1,24,6,-3.0,9.0,587,0,2015
3508,1,12,1,11.0,29.0,481,1,2015
3509,1,1,4,19.0,7.0,304,1,2015
3510,1,28,3,0.0,14.0,907,0,2015
3511,1,16,5,1.0,31.0,874,0,2015
3512,1,29,4,-3.0,28.0,334,0,2015
3513,1,23,5,-2.0,10.0,627,0,2015
3514,1,12,1,14.0,12.0,349,1,2015
3515,1,17,6,34.0,12.0,965,0,2015
3516,1,11,7,0.0,10.0,515,0,2015
3517,1,4,7,13.0,15.0,761,1,2015
3518,1,2,5,8.0,30.0,565,1,2015
3519,1,15,4,-7.0,25.0,834,0,2015
3520,1,4,7,-1.0,11.0,328,0,2015
3521,1,8,4,-10.0,13.0,579,0,2015
3522,1,11,7,69.0,62.0,223,1,2015
3523,1,5,1,112.0,11.0,1262,1,2015
3524,1,29,4,-3.0,31.0,2405,0,2015
3525,1,6,2,1.0,85.0,1084,1,2015
3526,1,19,1,5.0,16.0,2446,0,2015
3527,1,2,5,2.0,51.0,2182,1,2015
3528,1,23,5,2.0,12.0,533,0,2015
3529,1,17,6,47.0,16.0,282,1,2015
3530,1,28,3,-2.0,13.0,990,1,2015
3531,1,1,4,-3.0,7.0,696,0,2015
3532,1,24,6,-8.0,15.0,784,0,2015
3533,1,9,5,1.0,9.0,861,0,2015
3534,1,19,1,-1.0,17.0,272,1,2015
3535,1,24,6,-4.0,13.0,2075,1,2015
3536,1,21,3,0.0,75.0,678,1,2015
3537,1,13,2,11.0,9.0,721,1,2015
3538,1,7,3,-6.0,16.0,867,0,2015
3539,1,6,2,0.0,26.0,1246,0,2015
3540,1,22,4,-8.0,18.0,697,0,2015
3541,1,28,3,3.0,9.0,188,0,2015
3542,1,25,7,76.0,6.0,255,1,2015
3543,1,5,1,3.0,12.0,964,0,2015
3544,1,4,7,269.0,22.0,3711,1,2015
3545,1,6,2,-6.0,11.0,821,0,2015
3546,1,6,2,-5.0,11.0,852,0,2015
3547,1,20,2,-5.0,29.0,223,0,2015
3548,1,30,5,-3.0,15.0,444,0,2015
3549,1,27,2,30.0,13.0,515,1,2015
3550,1,20,2,-4.0,42.0,346,0,2015
3551,1,19,1,-3.0,14.0,746,0,2015
3552,1,4,7,16.0,13.0,158,0,2015
3553,1,12,1,234.0,10.0,853,1,2015
3554,1,25,7,1.0,7.0,1605,0,2015
3555,1,18,7,-1.0,13.0,1814,0,2015
3556,1,21,3,21.0,10.0,1182,1,2015
3557,1,13,2,2.0,36.0,296,1,2015
3558,1,6,2,51.0,13.0,370,1,2015
3559,1,10,6,3.0,10.0,223,0,2015
3560,1,27,2,32.0,18.0,272,1,2015
3561,1,5,1,592.0,17.0,212,1,2015
3562,1,29,4,-7.0,9.0,980,0,2015
3563,1,5,1,-5.0,12.0,1192,0,2015
3564,1,12,1,-5.0,15.0,680,0,2015
3565,1,3,6,31.0,35.0,1199,1,2015
3566,1,22,4,8.0,11.0,214,0,2015
3567,1,16,5,7.0,8.0,684,0,2015
3568,1,23,5,-7.0,21.0,119,0,2015
3569,1,14,3,-2.0,16.0,2565,0,2015
3570,1,19,1,-3.0,16.0,409,0,2015
3571,1,3,6,-6.0,16.0,438,0,2015
3572,1,21,3,44.0,45.0,213,1,2015
3573,1,9,5,-1.0,10.0,1211,1,2015
3574,1,27,2,-5.0,9.0,1235,0,2015
3575,1,22,4,-4.0,20.0,671,0,2015
3576,1,9,5,1.0,12.0,1381,0,2015
3577,1,13,2,-11.0,20.0,329,0,2015
3578,1,17,6,-10.0,19.0,236,0,2015
3579,1,28,3,-6.0,10.0,883,0,2015
3580,1,29,4,-2.0,27.0,265,0,2015
3581,1,25,7,-11.0,17.0,612,0,2015
3582,1,18,7,9.0,20.0,1139,0,2015
3583,1,9,5,-2.0,12.0,347,0,2015
3584,1,18,7,0.0,14.0,925,0,2015
3585,1,15,4,-3.0,14.0,113,0,2015
3586,1,19,1,24.0,13.0,448,0,2015
3587,1,6,2,-4.0,17.0,2153,0,2015
3588,1,7,3,124.0,16.0,849,1,2015
3589,1,9,5,7.0,33.0,978,1,2015
3590,1,20,2,18.0,9.0,541,0,2015
3591,1,8,4,16.0,9.0,407,0,2015
3592,1,3,6,64.0,25.0,1013,1,2015
3593,1,27,2,-5.0,8.0,1011,0,2015
3594,1,23,5,-3.0,16.0,1121,1,2015
3595,1,14,3,6.0,13.0,861,0,2015
3596,1,1,4,17.0,11.0,1017,0,2015
3597,1,11,7,-2.0,13.0,482,0,2015
3598,1,21,3,68.0,47.0,235,1,2015
3599,1,29,4,-3.0,14.0,562,0,2015
3600,1,29,4,-14.0,13.0,892,0,2015
3601,1,31,6,-4.0,16.0,2475,0,2015
3602,1,18,7,-3.0,10.0,821,0,2015
3603,1,19,1,-4.0,13.0,308,0,2015
3604,1,30,5,-4.0,10.0,1067,0,2015
3605,1,1,4,-2.0,11.0,631,0,2015
3606,1,29,4,-8.0,17.0,399,0,2015
3607,1,13,2,18.0,11.0,926,0,2015
3608,1,15,4,3.0,8.0,1449,0,2015
3609,1,17,6,-1.0,18.0,2398,0,2015
3610,1,26,1,160.0,11.0,1084,1,2015
3611,1,25,7,32.0,18.0,337,1,2015
3612,1,17,6,9.0,12.0,1076,0,2015
3613,1,18,7,-8.0,11.0,158,0,2015
3614,1,20,2,-7.0,8.0,966,0,2015
3615,1,2,5,97.0,16.0,1021,1,2015
3616,1,16,5,12.0,16.0,949,0,2015
3617,1,26,1,-9.0,11.0,296,0,2015
3618,1,31,6,-2.0,12.0,227,0,2015
